UFT	B-CHED
and	O
its	O
metabolites	O
inhibit	O
the	O
angiogenesis	O
induced	O
by	O
murine	B-LIVB
renal	B-Cancer
cell	I-Cancer
carcinoma	I-Cancer
,	O
as	O
determined	O
by	O
a	O
dorsal	B-Multi-tissue_structure
air	I-Multi-tissue_structure
sac	I-Multi-tissue_structure
assay	O
in	O
mice	B-LIVB
.	O

UFT	B-CHED
,	O
an	O
anticancer	B-Cancer
agent	O
that	O
is	O
composed	O
of	O
tegafur	B-CHED
(	O
FT	B-CHED
)	O
and	O
uracil	B-CHED
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	O
cancer	B-Cancer
patients	B-LIVB
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	O
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	O
effect	O
of	O
UFT	B-CHED
against	O
RENCA	B-CELL
cell	I-CELL
-	O
induced	O
angiogenesis	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	O
is	O
induced	O
by	O
implantation	O
of	O
a	O
chamber	O
containing	O
RENCA	B-CELL
cells	I-CELL
into	O
mice	B-LIVB
.	O

In	O
this	O
model	O
,	O
UFT	B-CHED
showed	O
a	O
strong	O
angiogenesis	O
-	O
inhibitory	O
effect	O
,	O
whereas	O
5	B-CHED
-	I-CHED
fluorouracil	I-CHED
(	O
5	B-CHED
-	I-CHED
FU	I-CHED
)	O
and	O
doxifluridine	B-CHED
were	O
less	O
effective	O
.	O

Additional	O
experiments	O
revealed	O
FT	B-CHED
to	O
be	O
effective	O
component	O
of	O
UFT	B-CHED
;	O
uracil	B-CHED
remained	O
ineffective	O
in	O
the	O
inhibition	O
of	O
angiogenesis	O
.	O

Moreover	O
,	O
we	O
have	O
found	O
that	O
gamma	B-CHED
-	I-CHED
hydroxybutyric	I-CHED
acid	I-CHED
and	O
gamma	B-CHED
-	I-CHED
butyrolactone	I-CHED
,	O
the	O
metabolites	O
of	O
FT	B-CHED
,	O
possess	O
a	O
potent	O
angiogenesis	O
inhibitory	O
effect	O
that	O
is	O
amplified	O
when	O
the	O
compounds	O
are	O
administered	O
by	O
a	O
continuous	O
infusion	O
.	O

This	O
may	O
reflect	O
a	O
transition	O
in	O
blood	B-LIVB_substance
concentration	O
of	O
each	O
metabolite	O
resulting	O
from	O
the	O
administration	O
of	O
UFT	B-CHED
.	O

Similar	O
results	O
were	O
also	O
obtained	O
with	O
respect	O
to	O
5	B-CHED
-	I-CHED
FU	I-CHED
.	O

It	O
was	O
suggested	O
that	O
UFT	B-CHED
has	O
a	O
stronger	O
angiogenesis	O
-	O
inhibitory	O
effect	O
than	O
did	O
other	O
fluorinated	B-CHED
pyrimidines	I-CHED
,	O
partly	O
due	O
to	O
its	O
pharmacokinetic	O
properties	O
characterized	O
by	O
maintaining	O
of	O
higher	O
and	O
long	O
-	O
lasting	O
blood	B-LIVB_substance
levels	O
of	O
5	B-CHED
-	I-CHED
FU	I-CHED
and	O
partly	O
due	O
the	O
inhibitory	O
effects	O
derived	O
from	O
gamma	B-CHED
-	I-CHED
hydroxybutyric	I-CHED
acid	I-CHED
and	O
gamma	B-CHED
-	I-CHED
butyrolactone	I-CHED
,	O
UFT	B-CHED
-	O
specific	O
metabolites	O
.	O

Nitric	B-PRGE
oxide	I-PRGE
synthase	I-PRGE
inhibition	O
results	O
in	O
synergistic	O
anti	O
-	O
tumour	B-Cancer
activity	O
with	O
melphalan	B-CHED
and	O
tumour	B-PRGE
necrosis	I-PRGE
factor	I-PRGE
alpha	I-PRGE
-	O
based	O
isolated	O
limb	B-LIVB_subdivision
perfusions	O
.	O

Nitric	B-CHED
oxide	I-CHED
(	O
NO	B-CHED
)	O
is	O
an	O
important	O
molecule	O
in	O
regulating	O
tumour	B-Cancer
blood	B-LIVB_substance
flow	O
and	O
stimulating	O
tumour	B-Cancer
angiogenesis	O
.	O

Inhibition	O
of	O
NO	B-PRGE
synthase	I-PRGE
by	O
L	B-CHED
-	I-CHED
NAME	I-CHED
might	O
induce	O
an	O
anti	O
-	O
tumour	B-Cancer
effect	O
by	O
limiting	O
nutrients	O
and	O
oxygen	B-CHED
to	O
reach	O
tumour	B-Tissue
tissue	I-Tissue
or	O
affecting	O
vascular	B-Multi-tissue_structure
growth	O
.	O

The	O
anti	O
-	O
tumour	B-Cancer
effect	O
of	O
L	B-CHED
-	I-CHED
NAME	I-CHED
after	O
systemic	O
administration	O
was	O
studied	O
in	O
a	O
renal	B-Cancer
subcapsular	I-Cancer
CC531	I-Cancer
adenocarcinoma	I-Cancer
model	O
in	O
rats	B-LIVB
.	O

Moreover	O
,	O
regional	O
administration	O
of	O
L	B-CHED
-	I-CHED
NAME	I-CHED
,	O
in	O
combination	O
with	O
TNF	B-PRGE
and	O
melphalan	B-CHED
,	O
was	O
studied	O
in	O
an	O
isolated	O
limb	B-LIVB_subdivision
perfusion	O
(	O
ILP	O
)	O
model	O
using	O
BN175	B-Cancer
soft	I-Cancer
-	I-Cancer
tissue	I-Cancer
sarcomas	I-Cancer
.	O

Systemic	O
treatment	O
with	O
L	B-CHED
-	I-CHED
NAME	I-CHED
inhibited	O
growth	O
of	O
adenocarcinoma	B-Cancer
significantly	O
but	O
was	O
accompanied	O
by	O
impaired	O
renal	B-Organ
function	O
.	O

In	O
ILP	O
,	O
reduced	O
tumour	B-Cancer
growth	O
was	O
observed	O
when	O
L	B-CHED
-	I-CHED
NAME	I-CHED
was	O
used	O
alone	O
.	O

In	O
combination	O
with	O
TNF	B-PRGE
or	O
melphalan	B-CHED
,	O
L	B-CHED
-	I-CHED
NAME	I-CHED
increased	O
response	O
rates	O
significantly	O
compared	O
to	O
perfusions	O
without	O
L	B-CHED
-	I-CHED
NAME	I-CHED
(	O
0	O
-	O
64	O
%	O
and	O
0	O
-	O
63	O
%	O
respectively	O
)	O
.	O

An	O
additional	O
anti	O
-	O
tumour	B-Cancer
effect	O
was	O
demonstrated	O
when	O
L	B-CHED
-	I-CHED
NAME	I-CHED
was	O
added	O
to	O
the	O
synergistic	O
combination	O
of	O
melphalan	B-CHED
and	O
TNF	B-PRGE
(	O
responses	O
increased	O
from	O
70	O
to	O
100	O
%	O
)	O
.	O

Inhibition	O
of	O
NO	B-PRGE
synthase	I-PRGE
reduces	O
tumour	B-Cancer
growth	O
both	O
after	O
systemic	O
and	O
regional	O
(	O
ILP	O
)	O
treatment	O
.	O

A	O
synergistic	O
anti	O
-	O
tumour	B-Cancer
effect	O
of	O
L	B-CHED
-	I-CHED
NAME	I-CHED
is	O
observed	O
in	O
combination	O
with	O
melphalan	B-CHED
and	O
/	O
or	O
TNF	B-PRGE
using	O
ILP	O
.	O

These	O
results	O
indicate	O
a	O
possible	O
role	O
of	O
L	B-CHED
-	I-CHED
NAME	I-CHED
for	O
the	O
treatment	O
of	O
solid	O
tumours	B-Cancer
in	O
a	O
systemic	O
or	O
regional	O
setting	O
.	O

Apoptosis	O
induced	O
by	O
1	B-CHED
'	I-CHED
-	I-CHED
acetoxychavicol	I-CHED
acetate	I-CHED
in	O
Ehrlich	B-CELL
ascites	I-CELL
tumor	I-CELL
cells	I-CELL
is	O
associated	O
with	O
modulation	O
of	O
polyamine	O
metabolism	O
and	O
caspase	B-PRGE
-	I-PRGE
3	I-PRGE
activation	O
.	O

The	O
efficacy	O
of	O
the	O
antitumor	B-Cancer
activity	O
of	O
1	B-CHED
'	I-CHED
-	I-CHED
acetoxychavicol	I-CHED
acetate	I-CHED
(	O
ACA	B-CHED
)	O
,	O
reported	O
to	O
be	O
a	O
suppressor	O
of	O
chemically	O
induced	O
carcinogenesis	O
,	O
was	O
evaluated	O
in	O
Ehrlich	B-CELL
ascites	I-CELL
tumor	I-CELL
cells	I-CELL
.	O

ACA	B-CHED
treatment	O
resulted	O
in	O
changes	O
in	O
morphology	O
and	O
a	O
dose	O
-	O
dependent	O
suppression	O
of	O
cell	B-CELL
viability	O
.	O

Apoptosis	O
,	O
characterized	O
by	O
nuclear	B-COMP
condensation	O
,	O
membrane	B-COMP
blebbing	O
,	O
cell	B-CELL
shrinkage	O
and	O
a	O
significant	O
induction	O
of	O
caspase	B-PRGE
-	I-PRGE
3	I-PRGE
-	I-PRGE
like	I-PRGE
protease	I-PRGE
activity	O
at	O
8	O
h	O
in	O
a	O
time	O
-	O
course	O
study	O
were	O
observed	O
.	O

Formation	O
of	O
apoptotic	B-COMP
bodies	I-COMP
was	O
preceded	O
by	O
lowering	O
of	O
intracellular	B-Immaterial_anatomical_entity
polyamines	O
,	O
particularly	O
putrescine	B-CHED
,	O
and	O
both	O
dose	O
-	O
and	O
time	O
-	O
dependent	O
