UFT	S-CHED
and	O
its	O
metabolites	O
inhibit	O
the	O
angiogenesis	O
induced	O
by	O
murine	S-LIVB
renal	B-Cancer
cell	I-Cancer
carcinoma	E-Cancer
,	O
as	O
determined	O
by	O
a	O
dorsal	B-Multi-tissue_structure
air	I-Multi-tissue_structure
sac	E-Multi-tissue_structure
assay	O
in	O
mice	S-LIVB
.	O

UFT	S-CHED
,	O
an	O
anticancer	S-Cancer
agent	O
that	O
is	O
composed	O
of	O
tegafur	S-CHED
(	O
FT	S-CHED
)	O
and	O
uracil	S-CHED
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	O
cancer	S-Cancer
patients	S-LIVB
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	O
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	O
effect	O
of	O
UFT	S-CHED
against	O
RENCA	B-CELL
cell	E-CELL
-	O
induced	O
angiogenesis	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	O
is	O
induced	O
by	O
implantation	O
of	O
a	O
chamber	O
containing	O
RENCA	B-CELL
cells	E-CELL
into	O
mice	S-LIVB
.	O

In	O
this	O
model	O
,	O
UFT	S-CHED
showed	O
a	O
strong	O
angiogenesis	O
-	O
inhibitory	O
effect	O
,	O
whereas	O
5	B-CHED
-	I-CHED
fluorouracil	E-CHED
(	O
5	B-CHED
-	I-CHED
FU	E-CHED
)	O
and	O
doxifluridine	S-CHED
were	O
less	O
effective	O
.	O

Additional	O
experiments	O
revealed	O
FT	S-CHED
to	O
be	O
effective	O
component	O
of	O
UFT	S-CHED
;	O
uracil	S-CHED
remained	O
ineffective	O
in	O
the	O
inhibition	O
of	O
angiogenesis	O
.	O

Moreover	O
,	O
we	O
have	O
found	O
that	O
gamma	B-CHED
-	I-CHED
hydroxybutyric	I-CHED
acid	E-CHED
and	O
gamma	B-CHED
-	I-CHED
butyrolactone	E-CHED
,	O
the	O
metabolites	O
of	O
FT	S-CHED
,	O
possess	O
a	O
potent	O
angiogenesis	O
inhibitory	O
effect	O
that	O
is	O
amplified	O
when	O
the	O
compounds	O
are	O
administered	O
by	O
a	O
continuous	O
infusion	O
.	O

This	O
may	O
reflect	O
a	O
transition	O
in	O
blood	S-LIVB_substance
concentration	O
of	O
each	O
metabolite	O
resulting	O
from	O
the	O
administration	O
of	O
UFT	S-CHED
.	O

Similar	O
results	O
were	O
also	O
obtained	O
with	O
respect	O
to	O
5	B-CHED
-	I-CHED
FU	E-CHED
.	O

It	O
was	O
suggested	O
that	O
UFT	S-CHED
has	O
a	O
stronger	O
angiogenesis	O
-	O
inhibitory	O
effect	O
than	O
did	O
other	O
fluorinated	B-CHED
pyrimidines	E-CHED
,	O
partly	O
due	O
to	O
its	O
pharmacokinetic	O
properties	O
characterized	O
by	O
maintaining	O
of	O
higher	O
and	O
long	O
-	O
lasting	O
blood	S-LIVB_substance
levels	O
of	O
5	B-CHED
-	I-CHED
FU	E-CHED
and	O
partly	O
due	O
the	O
inhibitory	O
effects	O
derived	O
from	O
gamma	B-CHED
-	I-CHED
hydroxybutyric	I-CHED
acid	E-CHED
and	O
gamma	B-CHED
-	I-CHED
butyrolactone	E-CHED
,	O
UFT	S-CHED
-	O
specific	O
metabolites	O
.	O

Nitric	B-PRGE
oxide	I-PRGE
synthase	E-PRGE
inhibition	O
results	O
in	O
synergistic	O
anti	O
-	O
tumour	S-Cancer
activity	O
with	O
melphalan	S-CHED
and	O
tumour	B-PRGE
necrosis	I-PRGE
factor	I-PRGE
alpha	E-PRGE
-	O
based	O
isolated	O
limb	S-LIVB_subdivision
perfusions	O
.	O

Nitric	B-CHED
oxide	E-CHED
(	O
NO	S-CHED
)	O
is	O
an	O
important	O
molecule	O
in	O
regulating	O
tumour	S-Cancer
blood	S-LIVB_substance
flow	O
and	O
stimulating	O
tumour	S-Cancer
angiogenesis	O
.	O

Inhibition	O
of	O
NO	B-PRGE
synthase	E-PRGE
by	O
L	B-CHED
-	I-CHED
NAME	E-CHED
might	O
induce	O
an	O
anti	O
-	O
tumour	S-Cancer
effect	O
by	O
limiting	O
nutrients	O
and	O
oxygen	S-CHED
to	O
reach	O
tumour	B-Tissue
tissue	E-Tissue
or	O
affecting	O
vascular	S-Multi-tissue_structure
growth	O
.	O

The	O
anti	O
-	O
tumour	S-Cancer
effect	O
of	O
L	B-CHED
-	I-CHED
NAME	E-CHED
after	O
systemic	O
administration	O
was	O
studied	O
in	O
a	O
renal	B-Cancer
subcapsular	I-Cancer
CC531	I-Cancer
adenocarcinoma	E-Cancer
model	O
in	O
rats	S-LIVB
.	O

Moreover	O
,	O
regional	O
administration	O
of	O
L	B-CHED
-	I-CHED
NAME	E-CHED
,	O
in	O
combination	O
with	O
TNF	S-PRGE
and	O
melphalan	S-CHED
,	O
was	O
studied	O
in	O
an	O
isolated	O
limb	S-LIVB_subdivision
perfusion	O
(	O
ILP	O
)	O
model	O
using	O
BN175	B-Cancer
soft	I-Cancer
-	I-Cancer
tissue	I-Cancer
sarcomas	E-Cancer
.	O

Systemic	O
treatment	O
with	O
L	B-CHED
-	I-CHED
NAME	E-CHED
inhibited	O
growth	O
of	O
adenocarcinoma	S-Cancer
significantly	O
but	O
was	O
accompanied	O
by	O
impaired	O
renal	S-Organ
function	O
.	O

In	O
ILP	O
,	O
reduced	O
tumour	S-Cancer
growth	O
was	O
observed	O
when	O
L	B-CHED
-	I-CHED
NAME	E-CHED
was	O
used	O
alone	O
.	O

In	O
combination	O
with	O
TNF	S-PRGE
or	O
melphalan	S-CHED
,	O
L	B-CHED
-	I-CHED
NAME	E-CHED
increased	O
response	O
rates	O
significantly	O
compared	O
to	O
perfusions	O
without	O
L	B-CHED
-	I-CHED
NAME	E-CHED
(	O
0	O
-	O
64	O
%	O
and	O
0	O
-	O
63	O
%	O
respectively	O
)	O
.	O

An	O
additional	O
anti	O
-	O
tumour	S-Cancer
effect	O
was	O
demonstrated	O
when	O
L	B-CHED
-	I-CHED
NAME	E-CHED
was	O
added	O
to	O
the	O
synergistic	O
combination	O
of	O
melphalan	S-CHED
and	O
TNF	S-PRGE
(	O
responses	O
increased	O
from	O
70	O
to	O
100	O
%	O
)	O
.	O

Inhibition	O
of	O
NO	B-PRGE
synthase	E-PRGE
reduces	O
tumour	S-Cancer
growth	O
both	O
after	O
systemic	O
and	O
regional	O
(	O
ILP	O
)	O
treatment	O
.	O

A	O
synergistic	O
anti	O
-	O
tumour	S-Cancer
effect	O
of	O
L	B-CHED
-	I-CHED
NAME	E-CHED
is	O
observed	O
in	O
combination	O
with	O
melphalan	S-CHED
and	O
/	O
or	O
TNF	S-PRGE
using	O
ILP	O
.	O

These	O
results	O
indicate	O
a	O
possible	O
role	O
of	O
L	B-CHED
-	I-CHED
NAME	E-CHED
for	O
the	O
treatment	O
of	O
solid	O
tumours	S-Cancer
in	O
a	O
systemic	O
or	O
regional	O
setting	O
.	O

Apoptosis	O
induced	O
by	O
1	B-CHED
'	I-CHED
-	I-CHED
acetoxychavicol	I-CHED
acetate	E-CHED
in	O
Ehrlich	B-CELL
ascites	I-CELL
tumor	I-CELL
cells	E-CELL
is	O
associated	O
with	O
modulation	O
of	O
polyamine	O
metabolism	O
and	O
caspase	B-PRGE
-	I-PRGE
3	E-PRGE
activation	O
.	O

The	O
efficacy	O
of	O
the	O
antitumor	S-Cancer
activity	O
of	O
1	B-CHED
'	I-CHED
-	I-CHED
acetoxychavicol	I-CHED
acetate	E-CHED
(	O
ACA	S-CHED
)	O
,	O
reported	O
to	O
be	O
a	O
suppressor	O
of	O
chemically	O
induced	O
carcinogenesis	O
,	O
was	O
evaluated	O
in	O
Ehrlich	B-CELL
ascites	I-CELL
tumor	I-CELL
cells	E-CELL
.	O

ACA	S-CHED
treatment	O
resulted	O
in	O
changes	O
in	O
morphology	O
and	O
a	O
dose	O
-	O
dependent	O
suppression	O
of	O
cell	S-CELL
viability	O
.	O

Apoptosis	O
,	O
characterized	O
by	O
nuclear	S-COMP
condensation	O
,	O
membrane	S-COMP
blebbing	O
,	O
cell	S-CELL
shrinkage	O
and	O
a	O
significant	O
induction	O
of	O
caspase	B-PRGE
-	I-PRGE
3	I-PRGE
-	I-PRGE
like	I-PRGE
protease	E-PRGE
activity	O
at	O
8	O
h	O
in	O
a	O
time	O
-	O
course	O
study	O
were	O
observed	O
.	O

Formation	O
of	O
apoptotic	B-COMP
bodies	E-COMP
was	O
preceded	O
by	O
lowering	O
of	O
intracellular	S-Immaterial_anatomical_entity
polyamines	O
,	O
particularly	O
putrescine	S-CHED
,	O
