The	O
Cdc6	S-PRGE
protein	O
is	O
ubiquitinated	O
in	O
vivo	O
for	O
proteolysis	O
in	O
Saccharomyces	O
cerevisiae	O
.	O

The	O
Saccharomyces	O
cerevisiae	O
Cdc6	S-PRGE
protein	O
is	O
necessary	O
for	O
the	O
formation	O
of	O
pre	B-Complex
-	I-Complex
replicative	I-Complex
complexes	E-Complex
that	O
are	O
required	O
for	O
firing	O
DNA	O
replication	O
at	O
origins	O
at	O
the	O
beginning	O
of	O
S	O
phase	O
.	O

Cdc6p	S-PRGE
protein	O
levels	O
oscillate	O
during	O
the	O
cell	O
cycle	O
.	O

In	O
a	O
normal	O
cell	O
cycle	O
the	O
presence	O
of	O
this	O
protein	O
is	O
restricted	O
to	O
G1	O
,	O
partly	O
because	O
the	O
CDC6	S-PRGE
gene	O
is	O
transcribed	O
only	O
during	O
G1	O
and	O
partly	O
because	O
the	O
Cdc6p	S-PRGE
protein	O
is	O
rapidly	O
degraded	O
at	O
late	O
G1	O
/	O
early	O
S	O
phase	O
.	O

We	O
report	O
here	O
that	O
the	O
Cdc6p	S-PRGE
protein	O
is	O
degraded	O
in	O
a	O
Cdc4	S-PRGE
-	O
dependent	O
manner	O
,	O
suggesting	O
that	O
phosphorylated	O
Cdc6	S-PRGE
is	O
specifically	O
recognized	O
by	O
the	O
ubiquitin	S-PRGE
-	O
mediated	O
proteolysis	O
machinery	O
.	O

Indeed	O
,	O
we	O
have	O
found	O
that	O
Cdc6	S-PRGE
is	O
ubiquitinated	O
in	O
vivo	O
and	O
degraded	O
by	O
a	O
Cdc4	S-PRGE
-	O
dependent	O
mechanism	O
.	O

Our	O
data	O
,	O
together	O
with	O
previous	O
observations	O
regarding	O
Cdc6	S-PRGE
stability	O
,	O
suggest	O
that	O
under	O
physiological	O
conditions	O
budding	O
yeast	O
cells	O
degrade	O
ubiquitinated	O
Cdc6	S-PRGE
every	O
cell	O
cycle	O
at	O
the	O
beginning	O
of	O
S	O
phase	O
.	O

Regulation	O
of	O
NF	B-Complex
-	I-Complex
kappaB	E-Complex
RelA	S-PRGE
phosphorylation	O
and	O
transcriptional	O
activity	O
by	O
p21	S-PRGE
(	O
ras	S-PRGE
)	O
and	O
protein	B-PRGE
kinase	I-PRGE
Czeta	E-PRGE
in	O
primary	O
endothelial	O
cells	O
.	O

The	O
activity	O
of	O
the	O
transcription	O
factor	O
NF	B-Complex
-	I-Complex
kappaB	E-Complex
is	O
thought	O
to	O
be	O
regulated	O
mainly	O
through	O
cytoplasmic	S-COMP
retention	O
by	O
IkappaB	S-PRGE
molecules	O
.	O

Here	O
we	O
present	O
evidence	O
of	O
a	O
second	O
mechanism	O
of	O
regulation	O
acting	O
on	O
NF	B-Complex
-	I-Complex
kappaB	E-Complex
after	O
release	O
from	O
IkappaB	S-PRGE
.	O

In	O
endothelial	O
cells	O
this	O
mechanism	O
involves	O
phosphorylation	O
of	O
the	O
RelA	S-PRGE
subunit	O
of	O
NF	B-Complex
-	I-Complex
kappaB	E-Complex
through	O
a	O
pathway	O
involving	O
activation	O
of	O
protein	B-PRGE
kinase	I-PRGE
Czeta	E-PRGE
(	O
PKCzeta	S-PRGE
)	O
and	O
p21	S-PRGE
(	O
ras	S-PRGE
)	O
.	O

We	O
show	O
that	O
transcriptional	O
activity	O
of	O
RelA	S-PRGE
is	O
dependent	O
on	O
phosphorylation	O
of	O
the	O
N	O
-	O
terminal	O
Rel	S-PRGE
homology	O
domain	O
but	O
not	O
the	O
C	O
-	O
terminal	O
transactivation	O
domain	O
.	O

Inhibition	O
of	O
phosphorylation	O
by	O
dominant	O
negative	O
mutants	O
of	O
PKCzeta	S-PRGE
or	O
p21	S-PRGE
(	O
ras	S-PRGE
)	O
results	O
in	O
loss	O
of	O
RelA	S-PRGE
transcriptional	O
activity	O
without	O
interfering	O
with	O
DNA	O
binding	O
.	O

Raf	S-PRGE
/	O
MEK	S-PRGE
,	O
small	O
GTPases	O
,	O
phosphatidylinositol	B-PRGE
3	I-PRGE
-	I-PRGE
kinase	E-PRGE
,	O
and	O
stress	B-PRGE
-	I-PRGE
activated	I-PRGE
protein	I-PRGE
kinase	E-PRGE
pathways	O
are	O
not	O
involved	O
in	O
this	O
mechanism	O
of	O
regulation	O
.	O

Cloning	O
and	O
characterization	O
of	O
retinol	B-PRGE
dehydrogenase	E-PRGE
transcripts	O
expressed	O
in	O
human	O
epidermal	O
keratinocytes	O
.	O

The	O
normal	O
growth	O
and	O
differentiation	O
of	O
the	O
epidermis	O
require	O
an	O
adequate	O
supply	O
of	O
vitamin	B-CHED
A	E-CHED
.	O

The	O
active	O
form	O
of	O
vitamin	B-CHED
A	E-CHED
for	O
normal	O
epidermal	O
homeostasis	O
is	O
retinoic	B-CHED
acid	E-CHED
(	O
RA	S-CHED
)	O
.	O

Retinoic	B-CHED
acid	E-CHED
controls	O
the	O
expression	O
of	O
retinoid	S-CHED
-	O
responsive	O
genes	O
via	O
interactions	O
of	O
the	O
retinoic	B-Complex
acid	I-Complex
/	I-Complex
nuclear	I-Complex
receptor	E-Complex
complexes	O
at	O
specific	O
DNA	O
sequences	O
in	O
their	O
control	O
regions	O
.	O

The	O
message	O
conveyed	O
by	O
RA	S-CHED
is	O
likely	O
modulated	O
by	O
the	O
concentration	O
of	O
the	O
ligand	O
available	O
for	O
binding	O
to	O
the	O
receptors	O
.	O

Following	O
the	O
uptake	O
of	O
plasma	O
retinol	S-CHED
,	O
epidermal	O
keratinocytes	O
synthesize	O
retinoic	B-CHED
acid	E-CHED
via	O
two	O
sequential	O
reactions	O
with	O
retinaldehyde	S-CHED
as	O
an	O
intermediate	O
.	O

Several	O
retinol	B-PRGE
dehydrogenase	E-PRGE
(	O
RDH	S-PRGE
)	O
enzymes	O
,	O
members	O
of	O
the	O
short	B-PRGE
-	I-PRGE
chain	I-PRGE
dehydrogenase	I-PRGE
/	I-PRGE
reductase	E-PRGE
(	O
SDR	S-PRGE
)	O
gene	O
superfamily	O
,	O
catalyze	O
the	O
first	O
and	O
rate	O
-	O
limiting	O
step	O
that	O
generates	O
retinaldehyde	S-CHED
from	O
retinol	S-CHED
bound	O
to	O
cellular	B-PRGE
retinol	I-PRGE
-	I-PRGE
binding	I-PRGE
protein	E-PRGE
(	O
holo	O
-	O
CRBP	S-PRGE
)	O
.	O

However	O
,	O
little	O
is	O
known	O
about	O
these	O
enzymes	O
and	O
their	O
genes	O
in	O
the	O
epidermal	O
cells	O
.	O

Our	O
work	O
describes	O
the	O
first	O
member	O
of	O
the	O
RDH	S-PRGE
family	O
found	O
in	O
epidermis	O
.	O

We	O
show	O
that	O
this	O
gene	O
is	O
expressed	O
predominantly	O
in	O
the	O
differentiating	O
spinous	O
layers	O
and	O
that	O
it	O
is	O
under	O
positive	O
,	O
feed	O
-	O
forward	O
regulation	O
by	O
retinoic	B-CHED
acid	E-CHED
.	O

It	O
encodes	O
a	O
protein	O
that	O
,	O
using	O
NAD	B-CHED
+	E-CHED
as	O
a	O
preferred	O
cofactor	O
,	O
utilizes	O
free	O
and	O
CRBP	S-PRGE
-	O
bound	O
all	B-CHED
-	I-CHED
trans	I-CHED
-	I-CHED
retinol	E-CHED
and	O
steroids	O
as	O
substrates	O
.	O

Signaling	O
by	O
proinflammatory	O
cytokines	O
:	O
oligomerization	O
of	O
TRAF2	S-PRGE
and	O
TRAF6	S-PRGE
is	O
sufficient	O
for	O
JNK	S-PRGE
and	O
IKK	S-Complex
activation	O
and	O
target	O
gene	O
induction	O
via	O
an	O
amino	O
-	O
terminal	O
effector	O
domain	O
.	O

Interleukin	B-PRGE
-	I-PRGE
1	E-PRGE
(	O
IL	B-PRGE
-	I-PRGE
1	E-PRGE
)	O
and	O
tumor	B-PRGE
necrosis	I-PRGE
factor	E-PRGE
(	O
TNF	B-PRGE
-	I-PRGE
alpha	E-PRGE
)	O
stimulate	O
transcription	O
factors	O
AP	B-PRGE
-	I-PRGE
1	E-PRGE
and	O
NF	B-Complex
-	I-Complex
kappaB	E-Complex
through	O
activation	O
of	O
the	O
MAP	B-PRGE
kinases	E-PRGE
JNK	S-PRGE
and	O
p38	S-PRGE
and	O
the	O
IkappaB	B-Complex
kinase	E-Complex
(	O
IKK	S-Complex
)	O
,	O
respectively	O
.	O

The	O
TNF	B-PRGE
-	I-PRGE
alpha	E-PRGE
and	O
IL	B-PRGE
-	I-PRGE
1	E-PRGE
signals	O
are	O
transduced	O
through	O
TRAF2	S-PRGE
and	O
TRAF6	S-PRGE
,	O
respectively	O
.	O

Overexpressed	O
TRAF2	S-PRGE
or	O
TRAF6	S-PRGE
activate	O
JNK	S-PRGE
,	O
p38	S-PRGE
,	O
or	O
IKK	S-Complex
in	O
the	O
absence	O
of	O
extracellular	S-COMP
stimulation	O
.	O

By	O
replacing	O
the	O
carboxy	O
-	O
terminal	O
TRAF	S-PRGE
domain	O
of	O
TRAF2	S-PRGE
and	O
TRAF6	S-PRGE
with	O
repeats	O
of	O
the	O
immunophilin	O
FKBP12	S-PRGE
,	O
we	O
demonstrate	O
that	O
their	O
effector	O
domains	O
are	O
composed	O
of	O
their	O
amino	O
-	O
terminal	O
Zn	S-CHED
and	O
RING	O
fingers	O
.	O

Oligomerization	O
of	O
the	O
TRAF2	S-PRGE
effector	O
domain	O
results	O
in	O
specific	O
binding	O
to	O
MEKK1	S-PRGE
,	O
a	O
protein	O
kinase	O
capable	O
of	O
JNK	S-PRGE
,	O
p38	S-PRGE
,	O
and	O
IKK	S-Complex
activation	O
,	O
and	O
induction	O
of	O
TNF	B-PRGE
-	I-PRGE
alpha	E-PRGE
and	O
IL	B-PRGE
-	I-PRGE
1	E-PRGE
responsive	O
genes	O
.	O

TNF	B-PRGE
-	I-PRGE
alpha	E-PRGE
also	O
enhances	O
the	O
binding	O
of	O
native	O
TRAF2	S-PRGE
to	O
MEKK1	S-PRGE
and	O
stimulates	O
the	O
kinase	O
activity	O
of	O
the	O
latter	O
.	O

Thus	O
,	O
TNF	B-PRGE
-	I-PRGE
alpha	E-PRGE
and	O
IL	B-PRGE
-	I-PRGE
1	E-PRGE
signaling	O
is	O
based	O
on	O
oligomerization	O
of	O
TRAF2	S-PRGE
and	O
TRAF6	S-PRGE
leading	O
to	O
activation	O
of	O
effector	O
kinases	O
.	O

Peptidoglycan	S-CHED
-	O
and	O
lipoteichoic	B-CHED
acid	E-CHED
-	O
induced	O
cell	O
activation	O
is	O
mediated	O
by	O
toll	B-PRGE
-	I-PRGE
like	I-PRGE
receptor	I-PRGE
2	E-PRGE
.	O

The	O
life	O
-	O
threatening	O
complications	O
of	O
sepsis	O
in	O
humans	O
are	O
elicited	O
by	O
