IL-2	B-DNA

gene	E-DNA
expression	O
and	O
NF-kappa	B-PRGE
B	E-PRGE
activation	O
through	O
CD28	S-PRGE
requires	O
reactive	O
oxygen	O
production	O
by	O
5-lipoxygenase	S-PRGE
.	O
Activation	O

of	O
the	O
CD28	B-PRGE
surface	I-PRGE
receptor	E-PRGE
provides	O
a	O
major	O
costimulatory	O
signal	O
for	O
T	O
cell	O
activation	O
resulting	O
in	O
enhanced	O
production	O
of	O
interleukin-2	S-PRGE
(	O
IL-2	S-PRGE
)	O
and	O
cell	O
proliferation	O
.	O
In	O

primary	B-CLTP
T	I-CLTP
lymphocytes	E-CLTP
we	O
show	O
that	O
CD28	S-PRGE
ligation	O
leads	O
to	O
the	O
rapid	O
intracellular	O
formation	O
of	O
reactive	O
oxygen	O
intermediates	O
(	O
ROIs	O
)	O
which	O
are	O
required	O
for	O
CD28	S-PRGE
-mediated	O
activation	O
of	O
the	O
NF-kappa	B-PRGE
B	E-PRGE
/	O
CD28-responsive	B-PRGE
complex	E-PRGE
and	O
IL-2	S-PRGE
expression	O
.	O
Delineation	O

of	O
the	O
CD28	S-PRGE
signaling	O
cascade	O
was	O
found	O
to	O
involve	O
protein	B-PRGE
tyrosine	I-PRGE
kinase	E-PRGE
activity	O
,	O
followed	O
by	O
the	O
activation	O
of	O
phospholipase	B-PRGE
A2	E-PRGE
and	O
5-lipoxygenase	S-PRGE
.	O
Our	O

data	O
suggest	O
that	O
lipoxygenase	B-PRGE
metabolites	E-PRGE
activate	O
ROI	O
formation	O
which	O
then	O
induce	O
IL-2	S-PRGE
expression	O
via	O
NF-kappa	B-PRGE
B	E-PRGE
activation	O
.	O
These	O

findings	O
should	O
be	O
useful	O
for	O
therapeutic	O
strategies	O
and	O
the	O
development	O
of	O
immunosuppressants	O
targeting	O
the	O
CD28	S-PRGE
costimulatory	O
pathway	O
.	O
The	O

peri-kappa	B-DNA

B	I-DNA
site	E-DNA
mediates	O
human	B-DNA
immunodeficiency	I-DNA
virus	I-DNA
type	I-DNA
2	I-DNA
enhancer	E-DNA
activation	O
in	O
monocytes	S-CLTP
but	O
not	O
in	O
T	B-CLTP
cells	E-CLTP
.	O
Human	O
immunodeficiency	O

virus	O
type	O
2	O
(	O
HIV-2	O
)	O
,	O
like	O
HIV-1	O
,	O
causes	O
AIDS	O
and	O
is	O
associated	O
with	O
AIDS	O
cases	O
primarily	O
in	O
West	O
Africa	O
.	O
HIV-1	O
and	O

HIV-2	O
display	O
significant	O
differences	O
in	O
nucleic	O
acid	O
sequence	O
and	O
in	O
the	O
natural	O
history	O
of	O
clinical	O
disease	O
.	O
Consistent	O
with	O

these	O
differences	O
,	O
we	O
have	O
previously	O
demonstrated	O
that	O
the	O
enhancer/promoter	B-DNA
region	E-DNA
of	O
HIV-2	O
functions	O
quite	O
differently	O
from	O
that	O
of	O
HIV-1	O
.	O
Whereas	O
activation	O

of	O
the	O
HIV-1	B-DNA
enhancer	E-DNA
following	O
T-cell	O
stimulation	O
is	O
mediated	O
largely	O
through	O
binding	O
of	O
the	O
transcription	B-PRGE
factor	E-PRGE
NF-kappa	B-PRGE
B	E-PRGE
to	O
two	O
adjacent	O
kappa	B-DNA
B	I-DNA
sites	E-DNA
in	O
the	O
HIV-1	B-DNA
long	I-DNA
terminal	I-DNA
repeat	E-DNA
,	O
activation	O
of	O
the	O
HIV-2	B-DNA
enhancer	E-DNA
in	O
monocytes	S-CLTP
and	O
T	B-CLTP
cells	E-CLTP
is	O
dependent	O
on	O
four	O
cis-acting	B-DNA
elements	E-DNA
:	O
a	O
single	O
kappa	B-DNA
B	I-DNA
site	E-DNA
,	O
two	O
purine-rich	B-DNA
binding	I-DNA
sites	E-DNA
,	O
PuB1	S-DNA
and	O
PuB2	S-DNA
,	O
and	O
a	O
pets	B-DNA
site	E-DNA
.	O
We	O
have	O

now	O
identified	O
a	O
novel	O
cis-acting	B-DNA
element	E-DNA
within	O
the	O
HIV-2	B-DNA
enhancer	E-DNA
,	O
immediately	O
upstream	O
of	O
the	O
kappa	B-DNA
B	I-DNA
site	E-DNA
,	O
designated	O
peri-kappa	B-DNA
B	E-DNA
.	O
This	O
site	O

is	O
conserved	O
among	O
isolates	O
of	O
HIV-2	O
and	O
the	O
closely	O
related	O
simian	O
immunodeficiency	O
virus	O
,	O
and	O
transfection	O
assays	O
show	O
this	O
site	O
to	O
mediate	O
HIV-2	B-DNA
enhancer	E-DNA
activation	O
following	O
stimulation	O
of	O
monocytic	S-CLLN
but	O
not	O
T-cell	B-CLLN
lines	E-CLLN
.	O
This	O
is	O

the	O
first	O
description	O
of	O
an	O
HIV-2	B-DNA
enhancer	I-DNA
element	E-DNA
which	O
displays	O
such	O
monocyte	O
specificity	O
,	O
and	O
no	O
comparable	O
enhancer	B-DNA
element	E-DNA
has	O
been	O
clearly	O
defined	O
for	O
HIV-1	O
.	O
While	O
a	O

nuclear	B-PRGE
factor	E-PRGE
(	O
s	O
)	O
from	O
both	O
peripheral	B-CLTP
blood	I-CLTP
monocytes	E-CLTP
and	O
T	B-CLTP
cells	E-CLTP
binds	O
the	O
peri-kappa	B-DNA
B	I-DNA
site	E-DNA
,	O
electrophoretic	O
mobility	O
shift	O
assays	O
suggest	O
that	O
either	O
a	O
different	O
protein	O
binds	O
to	O
this	O
site	O
in	O
monocytes	S-CLTP
versus	O
T	B-CLTP
cells	E-CLTP
or	O
that	O
the	O
protein	O
recognizing	O
this	O
enhancer	B-DNA
element	E-DNA
undergoes	O
differential	O
modification	O
in	O
monocytes	S-CLTP
and	O
T	B-CLTP
cells	E-CLTP
,	O
thus	O
supporting	O
the	O
transfection	O
data	O
.	O
Further	O
,	O

while	O
specific	O
constitutive	O
binding	O
to	O
the	O
peri-kappa	B-DNA
B	I-DNA
site	E-DNA
is	O
seen	O
in	O
monocytes	S-CLTP
,	O
stimulation	O
with	O
phorbol	O
esters	O
induces	O
additional	O
,	O
specific	O
binding	O
.	O
Understanding	O
the	O

monocyte-specific	O
function	O
of	O
the	O
peri-kappa	B-PRGE
B	I-PRGE
factor	E-PRGE
may	O
ultimately	O
provide	O
insight	O
into	O
the	O
different	O
role	O
monocytes	S-CLTP
and	O
T	B-CLTP
cells	E-CLTP
play	O
in	O
HIV	O
pathogenesis	O
.	O
E1A	B-DNA
gene	E-DNA

expression	O

induces	O
susceptibility	O
to	O
killing	O
by	O
NK	B-CLTP
cells	E-CLTP
following	O
immortalization	O
but	O
not	O
adenovirus	O
infection	O
of	O
human	B-CLTP
cells	E-CLTP
.	O
Adenovirus	O
(	O
Ad	O

)	O
infection	O
and	O
E1A	S-PRGE
transfection	O
were	O
used	O
to	O
model	O
changes	O
in	O
susceptibility	O
to	O
NK	O
cell	O
killing	O
caused	O
by	O
transient	O
vs	O
stable	O
E1A	S-PRGE
expression	O
in	O
human	B-CLTP
cells	E-CLTP
.	O
Only	O
stably	O
transfected	B-CLLN

target	I-CLLN
cells	E-CLLN
exhibited	O
cytolytic	O
susceptibility	O
,	O
despite	O
expression	O
of	O
equivalent	O
levels	O
of	O
E1A	B-PRGE
proteins	E-PRGE
in	O
Ad-infected	B-CLLN
targets	E-CLLN
.	O
The	O
inability	O
of	O

E1A	B-DNA
gene	E-DNA
products	O
to	O
induce	O
cytolytic	O
susceptibility	O
during	O
infection	O
was	O
not	O
explained	O
by	O
an	O
inhibitory	O
effect	O
of	O
viral	O
infection	O
on	O
otherwise	O
susceptible	O
target	B-CLTP
cells	E-CLTP
or	O
by	O
viral	B-DNA
gene	E-DNA
effects	O
on	O
class	B-PRGE
I	I-PRGE
MHC	I-PRGE
antigen	E-PRGE
